0	1	2
3.A.1.5.3	Nickel porter. Histidine 416 of NikA is essential for nickel uptake (Cavazza et al., 2011).	Proteobacteria
3.A.1.5.30	Putative fucose-glucose oligosaccharide porter. Binds xyloglucan hepta-, octa-, nonasaccharides with beta-1,4- tetraglucosyl backbones (Conners et al., 2005)	Thermotogae
3.A.1.5.31	Predicted galactoside porter. Induced by lactose (Conners et al., 2005)	Thermotogae
3.A.1.5.32	ABC α-galactoside uptake porter.  Most highly induced by stachyose (Andersen et al. 2012).	Firmicutes
3.A.1.5.33	The Nickel (Ni2+) uptake porter, NikABCDE (Hiron et al. 2010)	Firmicutes
3.A.1.5.34	Putative oligopeptide uptake porter. Induced by S-adenosylmethionine. Deletion caused impaired sporulation and impaired the enhancing activity of S-adenosylmethionine on actinorhodin (but not undecylprodigiosin) production (Shin et al. 2007).	Actinobacteria
3.A.1.5.35	Putative peptide transporter encoded adjacent to the putative transport system with TC#3.A.1.5.36. The orthologue controls aerial mycelium formation in S. griseus (Akanuma et al. 2011).	Actinobacteria
3.A.1.5.36	Peptide transporter encoded adjacent to the putative transport system with TC#3.A.1.5.35 (Akanuma et al. 2011). Induced by exogenous S-adenosylmethionine (SAM) at a concentration of 2muM which also enhanced antibiotic production and inhibited morphological development (Park et al. 2005). SAM can be imported into cells. Mutants in the bldK genes confer resistance to the toxic tripeptide, bialaphos (Nodwell et al. 1996).	Actinobacteria
3.A.1.5.37	The ABC BldKA-E (SGR_2418-2414) oligopeptide transport system. It controls aerial mycelium formation on glucose media. Probably involved in extracellular peptide signalling (Akanuma et al. 2011).  Probably orthologous to 3.A.1.5.35.	Actinobacteria
3.A.1.5.38	The putative D-alanyl-D-alanyl dipeptide permease, DdpABCDF; encoded within an operon that includes the D-ala-D-ala peptidase, DdpX (VanX, YddT). May also interact with the YegQ peptidase (P76403).	Proteobacteria
3.A.1.5.39	Di- and tri-peptide transporter, DppBCDF with periplasmic substrate binding receptors, A1, A3, A5, A7 and A9, each with differing specificities for peptides (Pletzer et al. 2014).	Proteobacteria
3.A.1.5.4	Agrocinopine (an opine)/Agrocin 84 (an antibiotic) porter (Kim and Farrand, 1997)	Proteobacteria
3.A.1.5.40	Nickel uptake porter, NikAB(CD)E (Benoit et al. 2013).	Proteobacteria
3.A.1.5.41	"Oligopeptide transporter, OppABCDF/MppA/YgiS.  MppA is a murein peptide receptor, and YgiS is a bile acid (e.g., cholate, deoxycholate) receptor that may use the Opp system for uptake.  YgiS mRNA is degraded by the toxin, MgsR, which is regulated by the antitoxin, MgsA, and this loss of the mRNA protects the cell against bile acid stress (Kwan et al. 2015). oppA translation is activated by MicF through a mechanism of 
action involving facilitated access to a translation-enhancing region in
 oppA 5'UTR.  MicF activation of oppA translation depends on cross-regulation by negative trans-acting effectors, the GcvB sRNA and the RNA chaperone protein Hfq (Carrier et al. 2023)."	OppABCDF/MppA/YgiS system of E. coliOppA (R)OppB (M)OppC (M)OppD (C)OppF (C)MppA (R)YgiS (R)
3.A.1.5.42	Peptide transporter, SapABCDF	SapABCDF of E. coliSapA (R)SapB (M)SapC (M)SapD (C)SapF (C)
3.A.1.5.43	The metal-staphylopine (nicotianamine-like metalophore) complex uptake system, CntABCDF.  Staphylopine binds divalent nickel, cobalt, zinc, copper and iron (Ghssein et al. 2016).	Metal-staphylopine uptake system, CntABCDF of Staphylococcus aureus
3.A.1.5.44	"Peptide transporter, SapABCDF. Mutants are more sensitive than the wild type to wheat alpha-thionin and to snakin-1, which is the most abundant antimicrobial peptide from potato tubers. They were also less virulent than was the 
wild-type strain in potato tubers: lesion areas were 37% that of the 
control, and the growth rate was two orders of magnitude lower. Thus, the interaction of antimicrobial peptides from the host with the sapA-F operon from the pathogen plays a similar role in animal and in plant bacterial pathogenesis (López-Solanilla et al. 1998)."	SapABCDF of Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)SapA, 540 aas, RSapB, 313 aas, MSapC, 296 aas, MSapD, 330 aas, CSapF, 269 aas, C
3.A.1.5.45	Uncharacterized 5 component peptide uptake transporter with a receptor, two transmembrane proteins and two ATPases, as is common for this family of ABC porters. The five genes encoding this system, from metagenomic data for an uncultured Lokiarchaeon, occur adjacent to each other in the genome (Zaremba-Niedzwiedzka et al. 2017).	UP of Lokiarchaeum sp. GC14_75
3.A.1.5.46	Putative oligopeptide transporter, OppA1A2BCDF. The two membrane proteins (OppB and OppC, of 564 and 670 aas with 13 and 15 TMSs, respectively (M-subunits)) and the two ATPases (C-subunits of 342 and 369 aas, respectively) map together, but the 4 potential receptors (R) map elsewhere on the chromosome. Two of them appear to be complete and have 734 and 738 aas, respectively, each with 2 TMSs, one N-terminal and one C-terminal.  There are two other potential receptors that may not have complete sequences.  They are OLS21443 (721 aas with only 1 C-terminal TMS) and OLS22122 (353 aas with only 1 N-terminal TMS).	Putative oligopeptide transporter of six probable subunits, 2 Rs, 2 Ms, and 2 Cs, of Candidatus Heimdallarchaeota archaeon LC_3 (marine sediment metagenome)
3.A.1.5.47	Peptide uptake porter, DppABCDF (Asai et al. 2018).	DppABCDF of Treponema denticola
3.A.1.5.48	Putative peptide uptake porter, DppABCD where A is a periplasmic receptor (R) B and C are membrane proteins (M) and D is a cytoplasmic ATPase (C) (Mandal et al. 2021).	DppABCD of Mycobacterium tuberculosisDppA, R, 541 aas, I6X811DppB, M, 266 aas, L0TEV4DppC, M, 308 aas, I6YGV9DccD, C, 548 aas, I6Y482
3.A.1.5.49	YejABEF with four subunits as indicated with YejA, a periplasmic peptide binding protein of 610 aas and 1 N-terminal TMS, YejB, a membrane protein with 360 aas and 6 TMSs, YejE, a membrane protein with 377 aas and 6 TMSs, and YejF, and an ATPase with 542 aas.	YejABEF of Sinorhizobium meliloti (Rhizobium meliloti)
3.A.1.5.5	Probable cationic peptide porter (may also take up peptide antibiotics and protamine; implicated in K+ homeostasis)  [SapD can stimulate the K+ uptake activities of TrkH and TrkG (TC #2.A.38.1.1) in the presence of ATP] (Mason et al., 2006)	Bacteria
3.A.1.5.6	The β-glucoside (cellobiose (β-1,4), cellotriose, cellotetraose, cellopentaose, laminaribiose (β-1,3), laminaritriose, sophorose) uptake porter, CbtABCDF	Archaea
3.A.1.5.7	The α-galactoside (melibiose, raffinose) uptake porter, AgpABCDF	Bacteria
3.A.1.5.8	Maltose and maltooligosaccharide porter	Archaea
3.A.1.5.9	Cellobiose and cellooligosaccharide porter	Archaea
TC#	Name	Organismal Type
3.A.1.6.1	Sulfate/thiosulfate porter	Proteobacteria
3.A.1.6.10	Tungstate uptake porter with three subunits, R, M and C (Mandal et al. 2019).	Tungstate porter of Thermus thermophilus
3.A.1.6.11	High affinity tungstate-specific uptake porter (Km = 1 pM) (Smart et al. 2009).	Tungstate porter of Campylobacter jejuniTupA, R, 269 aas and 1 N-terminal TMSTupB, M, 239 aas and 6 TMSsTupC, C, 331 aa
3.A.1.6.12	Putative (partial) sulfate/thiosulfate uptake porter (Choi and Ford 2021).  An ATPase and a membrane protein are known, but the other constituents are not known.  These proteins are most similar to the chloroplast sulfate uptake transporter (TC# 3.A.1.6.7) in TCDB, but the receptor and one membrane constituent are not known.	CysA/CysT of Marchantia polymorpha (Liverwort) (Marchantia aquatica)
3.A.1.6.2	Tungstate porter. (TupA, the receptor, exhibits an extremely high affinity for tungstate (Kd <1 nM) and discriminates between tungstate and molybdate (Andreesen and Makdessi, 2007))	Firmicutes
3.A.1.6.3	Sulfate porter	Actinobacteria
3.A.1.6.4	Vanadate porter (Pratte and Thiel, 2006) (most similar to TupABC (3.A.1.6.2))	Cyanobacteria
3.A.1.6.5	Tungsten (KM=20pM)/molybdate (KM=10nM) porter (Bevers et al., 2006)EuryarchaeotaWtpABC of Pyrococcus furiosus WtpA (R) (Q8U4K5) WtpB (M) (Q8U4K4) WtpC (C) (Q8U4K3)	Euryarchaeota
3.A.1.6.6	The Molybdate/Tungstate Transporter, ModA-C (Zhang and Gladyshev, 2008).ArchaeonModABC of Pyrobaculum calidifontisModA (R) (A3MW02)ModB (M) (A3MW01)ModC (C) (A3MW00)	Archaeon
3.A.1.6.7	The chloroplast sulfate transporter, SulP/SulP2/Sabc/Sbp (Melis & Chen et al., 2005).	Algae
3.A.1.6.8	Molybdate/tungstate transport system, ModABC (WtpABC) (ModA binds to ModBC with high affinity (0.11%u03BCM) and dissociates slowly; the complex is destabilized by nucleotide and substrate binding (Vigonsky et al. 2013).	Archaea
3.A.1.6.9	The putative molybdate, tungstate, selenite transporter, WtpBC (Kim and Whitman 1999).WtpB of 249 aas (M) (Q58763)WtpC of 297 aas (C) (Q58762)WtpA of 346 aas (R) (Q58586)	Archaea
TC#	Name	Organismal Type
3.A.1.7.1	Phosphate porter, PhoSPstABC.  Serves as both a transporter and a sensor for transcriptional activation of the pho regulon in the presence of low external phosphate.  The unphosphorylated EIIANtr protein of the PTS (TC# 4.A) activates PhoR, the senor kinase that phosphorylates the response regulator, PhoB, that activates the pho regulon (Lüttmann et al. 2012).	Proteobacteria
3.A.1.7.2	Phosphate transporter, PstSCAB (Gebhard and Cook, 2007).	Actinobacteria
3.A.1.7.3	High-affinity phosphate-specific permease, PstAB/PhoS. The 3-d structure of PhoS = (PBP) = PfluDING) has been solved at high resolution by x-ray crystallography (Ahn et al. 2007) with phosphate bound (4F1U and 4F1V; 0.95Å resolution) and with arsenate bound (4F18 and 4F19; 0.88Å resolution) (Elias et al. 2012). Phosphate binds with 500-fold higher affinity than arsenate due to a dense and rigid network of ion-dipole interactions (Elias et al. 2012). The PBP from Halomonas sp. GFAJ-1 has a phosphate affinity 5000-fold higher than that of arsenate (Elias et al. 2012).	Bacteria
3.A.1.7.4	High specificity inorganic phosphate porter, PstABCS (Sarin et al. 2001). May also function as a regulator of extracellular vesicle formation via the SenX3/RegX3 two component system (White et al. 2018).	Actinobacteria
3.A.1.7.5	The phosphate transporter, PstABCS.  The structure of PstS is known to 1.3Å resolution (Brautigam et al. 2013).	Spirochaetes
3.A.1.7.6	High affinity phosphate-specific transporter, PstABCS, where PstA (AAZ57802) = 304 aas with 6 TMSs, PstB (AAZ57801) = 267 aas with 0 TMSs (the ATPase), PstC (AAZ57803) = 317 aas with 6 TMSs, PstS (Q46L27 or AAX46970) = 321 aas and 1 N-terminal TMS; this PstS homolog is encoded by Prochlorococcus phage P-SSM3 (Zhao et al. 2022).	PstABCS of Prochlorococcus NATL2A
TC#	Name	Organismal Type
3.A.1.8.1	Molybdate porter consisting of three proteins.  Molybdate, after transport into cells by the ModABC proteins, is metabolized by the products of the mol gene(s) (Maupin-Furlow et al. 1995). The repressor of the mod operon is ModE (Grunden et al. 1996).	Proteobacteria
3.A.1.8.2	The molybdate/tungstate ABC transporter, ModABC.  The trans-inhibited 3-d structure of ModABC, is available (3D31.A and  3D31.B)(Gerber et al., 2008)	Archaea
3.A.1.8.3	Molybdate uptake porter with three components, R, M and C (Mandal et al. 2019).	Molybdate porter of Thermus thermophilus
3.A.1.8.4	Molybdate/tungstate uptake porter, ModABC with a Km of 4 - 8 μM for its two substrates (Smart et al. 2009).	ModABC of Campylobacter jejuniModA, R, 133 aas and 1 N-terminal TMSModB, M, 224 aas and 5 TMSsModC, C, 294 aa
3.A.1.8.5	Molybdenum (MoO42-) uptake porter with three subunits, the receptor, R, ModA, of 261 aas (P9WGU3), the membrane protein, M, ModB, of 264 aas and 6 TMSs (P9WG13), and the cytoplasmic ATPase, C, ModC, of 369 aas (P9WQL3) (Mandal et al. 2021).	ModABC of Mycobacterium tuberculosisModA, RModB, MModC, C
TC#	Name	Organismal Type
3.A.1.9.1	Phosphonate/organophosphate ester porter (broad specificity). Reviewed by Hinz & Tampé (2012).	Proteobacteria
3.A.1.9.2	Putative phosphonate/phosphite/phosphate porter, PhnDCE (Gebhard and Cook, 2007)	Bacteria
3.A.1.9.3	Phosphite uptake porter, PhnDCE of 252 aas (PhnC; Q119J0; C), 298 aas and 1 N-terminal TMS (PhnD; Q119I9; R) and 272 aas and 6 TMSs (PhnE; Q119I8; M) (Polyviou et al. 2015).	PhnCDE of Trichodesmium erythraeum
3.A.1.9.4	"Phosphite/phosphonate/hypophosphite ABC transporter, HtxBCDE (Metcalf and Wolfe 1998; White and Metcalf 2004). HtxC residue F210 is a ""gatekeeper"" for this transporter (Hirota et al. 2022)."	HtxBCDE of Pseudomonas stutzeri (Pseudomonas perfectomarina)HtxB, R, O69061, 298 aas and 1 N-terminal TMSHxtC, M, O69062, 282 aas and 5 or 6 TMSsHxtD, C, O69063, 341 aas and 0 TMSsHxtE, M, O69064, 261 aas and 5 or 6 TMSs
TC#	Name	Organismal Type
9.A.5.1.1	The putative arginine uptake porter, ArgP. Regulated by arginine repressor ArgR (Rodionov et al. 2011)	Bacteria
TC#	Name	Organismal Type
9.A.5.2.1	The putative histidine uptake porter, HutP. Encoded in histidine utilization operons (Ravcheev et al. 2011)	Bacteria
9.A.5.2.2	The putative histidine uptake porter, HutP. Encoded in histidine utilization operons and regulated by predicted histidine repressor HutR (Ravcheev et al. 2011)	Bacteria
TC#	Name	Organismal Type
9.A.5.3.1	Sporulation integral membrane protein, YlbJ	Bacteria
9.A.5.3.2	"Sporulation integral membrane protein required for spore cortex 
formation; trascribed by sigma-E RNA Polymerase (Eichenberger et al., 
2003). (408 aas; 10 TMSs; two repeats; Gate Superfamily)."	Bacteria
TC#	Name	Organismal Type
9.A.5.4.1	5 TMS homologue of YlbJ (242 aas).	Bacteria
9.A.5.4.2	The uncharacterized YjiH protein of 227 aas and 4 - 5 TMSs. Putative nucleoside recognition pore and gate family; putative inner membrane transporter.	YjiH of E. coli
TC#	Name	Organismal Type
5.B.12.1.1	Transmembrane one electron carrier complex, DsrMJKOP (Pires et al. 2006).  See family description for the properties of the 5 constituent proteins.	DsrMJKOP of Desulfovibrio desulfuricans
5.B.12.1.2	DsrMKJOP complex of 1 electron carriers; transfer electrons from the periplasm to the cytoplasm of the Gram negative bacterial cell (Dörries et al. 2016).	DsrMKJOP of Desulfococcus multivoransDsrM, 333 aas and 7 or 8 TMSs, AOY60341DsrK, 540 aas and 0 TMSs, AOY60340, iron-surfur subunitDsrJ, 129 aas and 1 TMS, AOY60339, cytochrome c subunitDsrO, 265 aas and 1 TMS, AOY60338, iron-sulfur subunitDsrP, 385 aas and 10 TMSs, AOY60337
5.B.12.1.3	One electron transfer complex, DsrKMJOP.	DsrKMJOP of Allochromatium vinosum (Chromatium vinosum)
TC#	Name	Organismal Type
2.A.106.1.1	The Y615 protein	Bacteria
2.A.106.1.2	Uncharacterized protein of 194 aas and 6 TMSs with two 3-TMS repeats.	Actinobacteria
2.A.106.1.3	Uncharacterized protein of 213 aas and 6 TMSs	Chlorobi
2.A.106.1.4	Uncharacterized protein of 192 aas	β-Proteobacteria
2.A.106.1.5	Chloroplast thylakoid GDT-1-like protein or photosynthesis-affected protein-71, PAM71 of 370 aas. Takes up Mn2+ and influences both Mn2+ and Ca2+ homeostasis in the chloroplast.  Necessary for photosystem II function due to its Mn2+ uptake activity (Schneider et al. 2016; Hoecker et al. 2017).	PAM71 of Arabidopsis thaliana
2.A.106.1.6	Manganese (Mn2+):proton exchanger, CGLD1, of 340 aas (Schneider et al. 2016; ).	CGLD1 of Chlamydomonas reinhardtii (Chlamydomonas smithii)
2.A.106.1.7	Photosynthesis-affected mutant 71, PAM71 homologue, PAM71-HL, of 359 aas and 7 TMSs (Hoecker et al. 2017). Probably a manganese ion transporter; a member of the UPF0016 family.	PAM71-HL of Arabidopsis thaliana (Mouse-ear cress)
2.A.106.1.8	Putative DL-lactate uptake porter of 184 aas and 6 - 7 TMSs (Deutschbauer et al. 2011).	SO_1071 of Shewanella oneidensis
TC#	Name	Organismal Type
2.A.106.2.1	The PFT27 protein	Animals
2.A.106.2.2	Ca2+:H+ antiporter, TMEM165 (PT27; TPARL; SLC64A1) of 324 aas and 7 TMSs in a 1 (N-terminal) + 3 + 3 TMS arrangement (Demaegd et al. 2013).  It may be both a Ca2+:H+ and a Mn2+:H+ antiporter (Dulary et al. 2016), catalyzing uptake of Mn2+ from the cytoplasm into the golgi lumen.  TMEM165 has been linked to congenital disorders of glycosylation (CDG) (Foulquier et al. 2012). It may influence glycosylation due to its Mn2+ transport activity that regulates Mn2+ homeostasis in the golgi (Thines et al. 2018). TMEM165 is also required for milk production (Snyder et al. 2019). Human Both Ca2+ and Mn2+ are required for proper protein glycosylation in cells (Stribny et al. 2020). TMEM165, a Golgi transmembrane protein, is a novel marker for hepatocellular carcinoma, and its depletion impairs invasion activity (Lee et al. 2018). The pathogenicity of TMEM165 variants using structural modeling based on AlphaFold 2 predictions has been presented (Legrand et al. 2023).	Animals
2.A.106.2.3	Golgi Ca2+:H+ and Mn2+:H+ antiporter, Gdt1 (GCR-1-dependent translation factor 1) or TMEM165 (Demaegd et al., 2013).  Involved in ion homeostasis (Dulary et al. 2016), specifically Mn2+ homeostasis (Thines et al. 2018).	Yeast
2.A.106.2.4	The YD68 protein	Yeast
2.A.106.2.5	Golgi Ca2+ ion homeostasis protein, TM protein PFT27, of 515 aas and 8 putative TMSs in a 2 (N-terminal) + 3 (middle) + 3 (C-terminal) TMSs.	Transmembrane protein PFT27 of Pyrenophora tritici-repentis (Wheat tan spot fungus) (Drechslera tritici-repentis)
TC#	Name	Organismal Type
2.A.106.3.1	3 TMS homologue of 89 aas	Spirochaetes
2.A.106.3.2	3 TMS homologue of 90 aas	δ-Proteobacteria
TC#	Name	Organismal Type
2.A.106.4.1	Uncharacterized protein of 235 aas	Archaea
TC#	Name	Organismal Type
TC#	Name	Organismal Type
1.I.3.1.1	The bacterial (Planctomycetes) Nuclear Pore-like Complex, B-NPC (Sagulenko et al. 2017). Several proteins were found to associate with the pore-containing membranes, and some were found to possess structural domains found in eukaryote nuclear pore complexes (Sagulenko et al. 2017).  Six proteins, shown to be associated with the B-NPC structure, are listed under this TC#.  They show sequence similarity with members of autotransport families 1 and 2 (TC#s 1.B.12 and 1.B.40) as well as members of a bacterial pore-forming toxin family (e.g., TC# 1.C.75). However these proteins have an unusual amino acid composition with lots of As, Gs, D, and Es, possibly (partially) accounting for the good scores.	B-NPC of Gemmata obscuriglobus NPC-like protein of 1707 aasNPC-like protein of 914 aasNPC-like protein of 975 aasNPC-like protein of 2559 aasNPC-like protein of 436 aasNPC-like protein of 704 aas
TC#	Name	Organismal Type
9.B.426.1.1	DUF4175 domain-containing protein of 243 aas and 3 TM	DUF4175 protein of Candidatus Kaiserbacteria bacterium (freshwater metagenome)
9.B.426.1.2	DUF4401 domain-containing protein of 288 aas and 3 TMSs.	DUF4401 protein of Candidatus Yonathbacteria bacterium (biofilm metagenome)
9.B.426.1.3	Uncharacterized protein of 177 aas and 3 TMSs.	UP of Candidatus Woesebacteria bacterium GW2011_GWD1_38_10 (groundwater  metagenome)
9.B.426.1.4	Uncharacterized protein of 123 aas and 3 TMSs.	UP of Microgenomates group bacterium
9.B.426.1.5	Uncharacterized protein of 245 aas and 3 TMSs.	UP of Candidatus Berkelbacteria bacterium (groundwater metagenome)
9.B.426.1.6	Uncharacterized protein of 172 aas and 3 TMSs	UP of Candidatus Methanofastidiosa archaeon (anaerobic digester metagenome)
TC#	Name	Organismal Type
9.B.426.2.1	Uncharacterized protein of 293 aas with 3 C-terminal TMSs with an N-terminal hydrophilic domain.	UP of Saprospiraceae bacterium (activated sludge metagenome)
9.B.426.2.2	Uncharacterized protein of 253 aas and 3 N-terminal TMSs	UP of Candidatus Parcubacteria bacterium (glacier metagenome) [Arenimonas sp.]
9.B.426.2.3	Uncharacterized protein of 271 aas and 3, 4, or 5 TMSs.  This first 3 (N-terminal) hydrophobic peaks (TMSs) are large; the fourth is of moderate size, and the fifth is very small.	UP of Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1 (groundwater metagenome)
TC#	Name	Organismal Type
3.A.26.1.1	"The Plasmodium Translocon of Exported proteins (PTEX) complex included Exp2 (283 aas; one N-terminal TMS plus 8 putative TM β-strands), Clp protease and ATPase (ClpB2), and translocon components, PTEX150 (993 aas with one N-terminal TMS and as many as 22 TM putative β-strands), pTEX88 (777 aas with one or two N-terminal α-helical TMSs and as many as 30 TM β-strands, and thioredoxin-2 (Trx2; 157 aas, one N-terminal TMS).  ClpB2 is an ATP-dependent protein unfoldase and chaparone that may energize substrate protein unfolding and export; it is not clear if the Clp protease is involved. 3-d structures are known for some components (AhYoung et al. 2015).  It has been suggested that the Exp-2 protein serves as the channel for export (Mesén-Ramírez et al. 2016), and this has been demonstrated (Hakamada et al. 2016). EXP2 formed pores in bilayer lipid membranes with an inner diameter of approximately 3.5 nm. The pore 
consists of 10-12 EXP2 subunits (Hakamada et al. 2017), and the N-terminus of EXP2 plays a role in pore formation (Sanders et al. 2018). An additional component of the complex may be Pf113 (Miyazaki et al. 2021). EXP2, the transmembrane protein of a translocon from malaria parasites has pore-forming properties in the lipid bilayer and forms a nanopore with a diameter of 2.5 nm assembled from 7 monomers. Using the EXP2 nanopore allowed  detection of poly-L-lysine (PLL) at a single-molecule level. The EXP2 nanopore has sufficient resolution to distinguish the difference in molecular weight between two individual PLL, long PLL (MW: 30,000-70,000) and short PLL (MW: 10,000) and thus functions as a peptide-detectable nanopore (Miyagi et al. 2021). Many proteins interacting with SBP1 have been identified, two of which are promising membrane-associated proteins  identified as pre-export interactors, and one of these possesses a predicted translocon domain that could facilitate the export of membrane proteins (Anaguano et al. 2023). Another P. falciparum protein, glidosome-associated protein-50 (Q8I2X3; 396 aas and 4 TMSs in a 1 (N-terminal) + 2 or 3 (residues 160 - 250) + 1 (C-terminal) is a component of the glideosome complex and could be involved in protein secretion) (Jones et al. 2009)."	PTEX complex of Plasmodium falciparumClpB2 ATPaseExp2PTEX150PTEX88Hsp101 (Clp protease subunit)Thioredoxin-2 (Trx2)Pf113
TC#	Name	Organismal Type
2.A.10.1.1	2-keto-3-deoxygluconate:proton symporter (Condemine and Robert-Baudouy 1987).	Bacteria
2.A.10.1.2	2-keto-3-deoxygluconate permease (KDG transporter), KdgT	Bacteria
2.A.10.1.3	Probable galacturonate uptake porter of 330 aas and 10 TMSs (Pujic et al. 1998).	Probable galacturonate uptake porter of Bacillus subtilis
2.A.10.1.4	KdgT homologue of 315 aas and 10 TMSs.	KdgT homologue of Anaerococcus senegalensis
2.A.10.1.5	N-terminal KdgT domain with 10 TMS and a C-terminal N-acetyl transferase (NAT) domain.  462 aas total.	KdgT of Streptococcus pasteurianus
2.A.10.1.6	Putative 2-keto-3-deoxygluconate:proton symporter of 320 aas and 10 TMSs.  This protein shows significant sequence similarity to members of family 2.A.98 (the PSE Famiy).	UP of Gardnerella vaginalis
TC#	Name	Organismal Type
TC#	Name	Organismal Type
TC#	Name	Organismal Type
5.A.3.1.1	Anaerobic, respiratory, membrane-bound nitrate reductase, NarGHI. Two protons are consumed in the cytoplasm while two protons are released in the periplasm, contributing to the pmf (Simon et al., 2008).	Bacteria and archaea
5.A.3.1.2	Anaerobic, respiratory, membrane-bound nitrate reductase, NarZYV (Blasco et al., 1990)	Bacteria
TC#	Name	Organismal Type
5.A.3.10.1	Tetrathionate reductase, TtrABC	Bacteria
5.A.3.10.2	Tetrathionate reductase, subunit A of 1173 aas and up to 4 TMSs, 2 TMSs N-terminal and 2 TMSs in the middle of the protein.	Tetrathionate reductase of Pyrobaculum aerophilum
TC#	Name	Organismal Type
5.A.3.11.1	Phenylacetyl-CoA:acceptor oxidoreductase (Rhee and Fuchs, 1999)	Bacteria
5.A.3.11.2	The cytoplasmic sulfur/tetrathionate/polysulfide oxidoreductase, SreABC (Guiral et al., 2005) [While SreA and B most resemble 5.A.3.11.1, SreC most resembles 5.A.3.3.2.]	Bacteria
TC#	Name	Organismal Type
5.A.3.2.1	Anaerobic, respiratory, membrane-bound formate dehydrogenase, FdnGHI. Two protons are consumed in the cytoplasm while two protons are released in the periplasm, contributing to the pmf (Simon et al., 2008).	Bacteria and archaea
TC#	Name	Organismal Type
5.A.3.3.1	Anaerobic dimethylsulfoxide (DMSO) reductase, (YnfEFGH) (Weiner et al., 1992; Lubitz and Weiner, 2003)	Bacteria
5.A.3.3.2	Anaerobic dimethyl sulfoxide (DMSO) reductase, DmsABC (Lubitz and Weiner, 2003)	Bacteria
5.A.3.3.3	Anaerobic dimethylsulfoxide (DMSO)/trimethylamine-N-oxide (TMAO) reductase (Müller and DasSarma, 2005)	Archaea
TC#	Name	Organismal Type
5.A.3.4.1	Anaerobic trimethylamine-N-oxide (TMAO) reductase 1, TorAC (Mejean et al., 1994)	Bacteria
5.A.3.4.2	Periplasmic anaerobic trimethylamine-N-oxide reductase 2, TorYZ (also called YecK/BisZ) (Gon et al. 2000). It also reduces biotin sulfoxide and other N- and S-oxides, but less efficiency that TMAO.	Bacteria
5.A.3.4.3	Biotin d-sulfoxide reductase, BisC (requires a small thioredoxin-like protein) (Pierson and Campbell, 1990)	Bacteria
5.A.3.4.4	"Periplasmic anaerobic methionine oxide reductase 2, TorYZ (also called MtsZ/BisC), both with an N-terminal TMS. It supports survival of Haemophilus influenzae in an in vivo model of infection (Dhouib et al. 2016). It is an S- and N-oxide reductase with a stereospecificity for 
S-sulfoxides. The enzyme converts two physiologically relevant 
sulfoxides, biotin sulfoxide (BSO) and methionine sulfoxide (MetSO), with the 
kinetic parameters suggesting that MetSO is the natural substrate of 
this enzyme (Dhouib et al. 2016)."	TorYZ of Haemophilus influenzae
TC#	Name	Organismal Type
5.A.3.5.1	Thiosulfate reductase, PhsABC (Heinzinger et al., 1995) (Clark and Barrett 1987). Menaquinone is the sole electron donor. The endoergonic reduction reaction is driven by the pmf by a reverse loop mechanism (Stoffels et al. 2012). The enzyme can catalyze oxidation of sulfide to sulfite and sulfite to thiosulfate in an exergonic reaction that is pmf-independent (Stoffels et al. 2012). Because the endoergonic reaction is dependent on the pmf, there may be a proton channels in the complex, (possibly subunit C) that allows proton flux into the cell, coupled to the reduction reaction.	Bacteria
5.A.3.5.2	Polysulfide reductase, PsrABC	Bacteria
5.A.3.5.3	Nitrite reductase complex, NrfABCD with subunits:  NrfA, 478 aas and 1 N-terminal TMS, P0ABK9; NrfB or YjcI, 188 aas and 1 N-terminal TMS, P0ABL1; NrfC or YjcJ, 223 aas and 1 N-terminal TMS, P0AAK7; NrfD or YjcK, 318 aas and 8 TMSs, P32709.	NrfABCD of E. coli
TC#	Name	Organismal Type
5.A.3.6.1	Arsenite oxidase, AoxAB	Bacteria
TC#	Name	Organismal Type
5.A.3.7.1	Pyrogallol hydroxytransferase, AthL/BthL	Bacteria
TC#	Name	Organismal Type
5.A.3.8.1	Selenate reductase, SerABC	Bacteria
5.A.3.8.2	Chlorate reductase, ClrABC	Bacteria
TC#	Name	Organismal Type
5.A.3.9.1	Anaerobic ethylbenzene dehydrogenase, EbdABC (Johnson et al., 2001)	Bacteria
TC#	Name	Organismal Type
8.A.7.1.1	Enzyme I of the PTS	Bacteria
8.A.7.1.2	Enzyme I of the PTS (Araki et al., 2011)	Bacteria
8.A.7.1.3	Phosphoenolpyruvate: protein phosphotransferase, PTS Enzyme I (based on homology)	Archaea
8.A.7.1.4	Enzyme I, PtsI (functions with 4.A.2.1.15; Pickl et al., 2012)	Archaea
8.A.7.1.5	"Enzyme I of 591 aas.  Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr).  This protein is encoded in the same operon with an HPr (TC# 8.A.8.1.5) and the IIC
 and IID genes of a mannose-type PTS system (TC# 4.A.6.1.20)."	Enzyme I of Caldithrix abyssi
8.A.7.1.6	Enzyme I of an archaeal mannose (Man)-type PTS; 566 aas.	Enzyme I of Thermofilum pendens
TC#	Name	Organismal Type
